,region,Quarter,Price,QuarterEnding,pmt,principal,t_i,pti,min_inc,HAI
379,ATWATER,2018-Q2,270000,4/1/2018,1108.449477,216000,310.5,1430.757668,57230.30674,0.402923344
379,AUBURN,2018-Q2,499900,4/1/2018,2007.757543,399920,574.885,2649.021328,105960.8531,0.265640034
379,AZUSA,2018-Q2,448500,4/1/2018,1882.272696,358800,515.775,2376.64746,95065.89841,0.330450453
379,BAKERSFIELD,2018-Q2,239900,4/1/2018,1018.51867,191920,275.885,1271.254684,50850.18736,0.591077106
379,BALDWIN PARK,2018-Q2,421500,4/1/2018,1945.015119,337200,484.725,2233.571693,89342.86774,0.285511688
379,BANNING,2018-Q2,260000,4/1/2018,1129.363618,208000,299,1377.766644,55110.66575,0.423428796
379,BARSTOW,2018-Q2,144999,4/1/2018,597.7261517,115999.2,166.74885,768.3645598,30734.58239,0.597928346
379,BAY POINT,2018-Q2,5.00E+05,4/1/2018,1955.47219,4.00E+05,575,2649.551238,105982.0495,0.208606194
379,BEAUMONT,2018-Q2,333000,4/1/2018,1421.74331,266400,382.95,1764.601124,70584.04497,0.518520287
379,BELMONT,2018-Q2,1761750,4/1/2018,7550.004926,1409400,2026.0125,9335.693786,373427.7514,0.175550987
379,BENICIA,2018-Q2,655000,4/1/2018,2823.409044,524000,753.25,3470.912121,138836.4849,0.332015667
379,BERKELEY,2018-Q2,1325000,4/1/2018,5103.050421,1060000,1523.75,7021.31078,280852.4312,0.118971052
379,BERMUDA DUNES,2018-Q2,328921.5,4/1/2018,1505.818157,263137.2,378.259725,1742.988735,69719.5494,0.483496214
379,BLOOMINGTON,2018-Q2,342500,4/1/2018,1338.505028,274000,393.875,1814.942598,72597.70391,0.354334441
379,BONITA,2018-Q2,710000,4/1/2018,2927.97975,568000,816.5,3762.362758,150494.5103,0.263649828
379,BOULDER CREEK,2018-Q2,620000,4/1/2018,2509.696928,496000,713,3285.443535,131417.7414,0.244119439
379,BREA,2018-Q2,699999,4/1/2018,3093.201464,559999.2,804.99885,3709.366434,148374.6574,0.265698066
379,BRENTWOOD,2018-Q2,595000,4/1/2018,2593.144351,476000,684.25,3152.965973,126118.6389,0.40758808
379,BUENA PARK,2018-Q2,585500,4/1/2018,2467.868646,468400,673.325,3102.624499,124104.98,0.229681861
379,BURBANK,2018-Q2,806500,4/1/2018,3346.262571,645200,927.475,4273.726147,170949.0459,0.31606223
379,BURLINGAME,2018-Q2,2337500,4/1/2018,9097.651365,1870000,2688.125,12386.65204,495466.0815,0.119335127
379,CALABASAS,2018-Q2,1149000,4/1/2018,5525.51607,919200,1321.35,6088.668744,243546.7498,0.258672756
379,CALIFORNIA CITY,2018-Q2,154900,4/1/2018,637.8813026,123920,178.135,820.8309735,32833.23894,0.672850363
379,CAMARILLO,2018-Q2,620500,4/1/2018,2566.165109,496400,713.575,3288.093086,131523.7234,0.356635887
379,CAMBRIA,2018-Q2,752750,4/1/2018,2756.483793,602200,865.6625,3988.899388,159555.9755,0.152862356
379,CAMERON PARK,2018-Q2,492400,4/1/2018,2046.448704,393920,566.26,2609.278059,104371.1224,0.420309171
379,CAMPBELL,2018-Q2,1430000,4/1/2018,5387.482739,1144000,1644.5,7577.71654,303108.6616,0.131840767
