"","region","Price.2017-Q4","Price.2017-Q3","principal.2017-Q4","pmt.2017-Q4","t_i.2017-Q4","pti.2017-Q4","min_inc.2017-Q4","HAI.2017-Q4","principal.2017-Q3","pmt.2017-Q3","t_i.2017-Q3","pti.2017-Q3","min_inc.2017-Q3","HAI.2017-Q3"
"89","BRADBURY",935000,597500,748000,3879.41081460611,1075.25,4954.66081460611,198186.432584245,0.247675132082067,478000,2479.08872911995,687.125,3166.21372911995,126648.549164798,0.387321265619708
"90","BRADLEY",339000,597500,271200,1406.54573919944,389.85,1796.39573919944,71855.8295679774,0.406112945291929,478000,2479.08872911995,687.125,3166.21372911995,126648.549164798,0.111765736275539
"91","BRAWLEY",570000,675000,456000,2364.9884110433,655.5,3020.4884110433,120819.536441732,0.111923870815168,540000,2800.64417097233,776.25,3576.89417097233,143075.766838893,0.0726446726472876
"92","BREA",699999,675000,559999.2,2904.36758375772,804.99885,3709.36643375772,148374.657350309,0.265698066004654,540000,2800.64417097233,776.25,3576.89417097233,143075.766838893,0.283581820942765
"93","BRENTWOOD",595000,610000,476000,2468.71597293116,684.25,3152.96597293116,126118.638917247,0.407588079965749,488000,2530.95251006388,701.5,3232.45251006388,129298.100402555,0.390942959725986
"94","BRIDGEPORT",115000,1157500,92000,477.146784684174,132.25,609.396784684174,24375.871387367,0.82193177016495,926000,4802.5861154081,1331.125,6133.7111154081,245348.444616324,0.00946133770591084
"95","BRISBANE",1200000,1157500,960000,4978.92297061747,1380,6358.92297061747,254356.918824699,0.118294071442072,926000,4802.5861154081,1331.125,6133.7111154081,245348.444616324,0.124964934996153
"96","BROOKDALE",675000,624500,540000,2800.64417097233,776.25,3576.89417097233,143075.766838893,0.245695312831181,499600,2591.11449595884,718.175,3309.28949595884,132371.579838354,0.293103645567731
"97","BUELLTON",570000,549900,456000,2364.9884110433,655.5,3020.4884110433,120819.536441732,0.271141275612984,439920,2281.59145128546,632.385,2913.97645128546,116559.058051418,0.290329482236603
"98","BUENA PARK",585500,570000,468400,2429.29949941377,673.325,3102.62449941377,124104.979976551,0.229681860990341,456000,2364.9884110433,655.5,3020.4884110433,120819.536441732,0.24221329700676
"99","BURBANK",806500,758000,645200,3346.25114650249,927.475,4273.72614650249,170949.0458601,0.316062229597217,606400,3145.01967644004,871.7,4016.71967644004,160668.787057601,0.34561826985317
"100","BURLINGAME",2337500,2204000,1870000,9698.52703651528,2688.125,12386.6520365153,495466.081460611,0.119335126686657,1763200,9144.62185603409,2534.6,11679.2218560341,467168.874241364,0.130637485259471
"101","BURNEY",129900,130000,103920,538.968411569341,149.385,688.353411569341,27534.1364627737,0.658689240443693,104000,539.383321816893,149.5,688.883321816893,27555.3328726757,0.656739478763975
"102","BUTTE MEADOWS",380000,142500,304000,1576.65894069553,437,2013.65894069553,80546.3576278213,0.327099340967167,114000,591.247102760825,163.875,755.122102760825,30204.884110433,0.712000206313008
"103","BYRON",1150000,142500,920000,4771.46784684174,1322.5,6093.96784684174,243758.71387367,0.0852283697545965,114000,591.247102760825,163.875,755.122102760825,30204.884110433,0.859346026264166
