X,region,Quarter,Price,QuarterEnding,pmt,principal,t_i,pti,min_inc,HAI
,CATHEDRAL CITY,2018-Q1,2.81E+05,1/1/2018,1165.897796,224800,323.15,1489.047796,59561.91182,0.406181687
,CERES,2018-Q1,285050,1/1/2018,1182.701661,228040,327.8075,1510.509161,60420.36643,0.484071948
,CHICO,2018-Q1,337250,1/1/2018,1399.28481,269800,387.8375,1787.12231,71484.89239,0.362269629
,CHINO,2018-Q1,483500,1/1/2018,2006.091047,386800,556.025,2562.116047,102484.6419,0.362023912
,CHINO HILLS,2018-Q1,6.91E+05,1/1/2018,2867.029811,552800,794.65,3661.679811,146467.1924,0.30243766
,CHOWCHILLA,2018-Q1,249900,1/1/2018,1036.860709,199920,287.385,1324.245709,52969.82835,0.384933936
,CHULA VISTA,2018-Q1,5.05E+05,1/1/2018,2095.29675,4.04E+05,580.75,2676.04675,107041.87,0.301122886
,CITRUS HEIGHTS,2018-Q1,3.17E+05,1/1/2018,1315.265485,253600,364.55,1679.815485,67192.61939,0.421741781
,CLAREMONT,2018-Q1,630922.5,1/1/2018,2617.762107,504738,725.560875,3343.322982,133732.9193,0.362263405
,CLAYTON,2018-Q1,777500,1/1/2018,3225.927175,6.22E+05,894.125,4120.052175,164802.087,0.404474925
,CLEARLAKE,2018-Q1,1.50E+05,1/1/2018,622.3653713,1.20E+05,172.5,794.8653713,31794.61485,0.457410485
,CLOVERDALE,2018-Q1,5.58E+05,1/1/2018,2315.199181,446400,641.7,2956.899181,118275.9673,0.270919267
,CLOVIS,2018-Q1,3.20E+05,1/1/2018,1327.712792,2.56E+05,368,1695.712792,67828.51169,0.531695348
,COACHELLA,2018-Q1,249400,1/1/2018,1034.786157,199520,286.81,1321.596157,52863.8463,0.382151395
,COALINGA,2018-Q1,1.65E+05,1/1/2018,684.6019085,1.32E+05,189.75,874.3519085,34974.07634,0.664701206
,COARSEGOLD,2018-Q1,2.75E+05,1/1/2018,1141.003181,2.20E+05,316.25,1457.253181,58290.12723,0.484248481
,COLFAX,2018-Q1,3.55E+05,1/1/2018,1472.931379,2.84E+05,408.25,1881.181379,75247.25515,0.465609701
,COLTON,2018-Q1,2.91E+05,1/1/2018,1207.38882,232800,334.65,1542.03882,61681.55281,0.366360975
,COMPTON,2018-Q1,3.80E+05,1/1/2018,1576.658941,3.04E+05,437,2013.658941,80546.35763,0.265263761
,CONCORD,2018-Q1,5.61E+05,1/1/2018,2327.646489,448800,645.15,2972.796489,118911.8596,0.316521291
,COPPEROPOLIS,2018-Q1,288465,1/1/2018,1196.870846,230772,331.73475,1528.605596,61144.22382,0.545588239
,CORONA,2018-Q1,4.79E+05,1/1/2018,1987.420086,383200,550.85,2538.270086,101530.8034,0.393500422
