,region,Quarter,Price,QuarterEnding,pmt,principal,t_i,pti,min_inc,HAI
24,AZUSA,2017-Q1,405000,1/1/2017,1614.818968,324000,465.75,2080.568968,83222.75871,0.347820308
25,BAKERSFIELD,2018-Q2,239900,4/1/2018,995.3696839,191920,275.885,1271.254684,50850.18736,0.591077106
403,BAKERSFIELD,2018-Q1,226300,1/1/2018,938.9418902,181040,260.245,1199.18689,47967.47561,0.610412443
781,BAKERSFIELD,2017-Q2,228000,4/1/2017,945.9953644,182400,262.2,1208.195364,48327.81458,0.579068909
25,BAKERSFIELD,2017-Q4,239900,10/1/2017,995.3696839,191920,275.885,1271.254684,50850.18736,0.591077106
403,BAKERSFIELD,2017-Q3,226300,7/1/2017,938.9418902,181040,260.245,1199.18689,47967.47561,0.610412443
25,BAKERSFIELD,2017-Q1,216990,1/1/2017,865.184118,173592,249.5385,1114.722618,44588.90472,0.608994222
26,BALDWIN PARK,2018-Q2,421500,4/1/2018,1748.846693,337200,484.725,2233.571693,89342.86774,0.285511688
404,BALDWIN PARK,2018-Q1,461000,1/1/2018,1912.736241,368800,530.15,2442.886241,97715.44965,0.233269746
782,BALDWIN PARK,2017-Q2,411000,4/1/2017,1705.281117,328800,472.65,2177.931117,87117.2447,0.266078989
26,BALDWIN PARK,2017-Q4,421500,10/1/2017,1748.846693,337200,484.725,2233.571693,89342.86774,0.285511688
404,BALDWIN PARK,2017-Q3,461000,7/1/2017,1912.736241,368800,530.15,2442.886241,97715.44965,0.233269746
26,BALDWIN PARK,2017-Q1,372500,1/1/2017,1485.23473,298000,428.375,1913.60973,76544.38918,0.325606524
27,BANNING,2018-Q2,260000,4/1/2018,1078.766644,208000,299,1377.766644,55110.66575,0.423428796
405,BANNING,2018-Q1,250000,1/1/2018,1037.275619,2.00E+05,287.5,1324.775619,52991.02476,0.439159319
783,BANNING,2017-Q2,235000,4/1/2017,975.0390817,188000,270.25,1245.289082,49811.56327,0.429492317
27,BANNING,2017-Q4,260000,10/1/2017,1078.766644,208000,299,1377.766644,55110.66575,0.423428796
405,BANNING,2017-Q3,250000,7/1/2017,1037.275619,2.00E+05,287.5,1324.775619,52991.02476,0.439159319
27,BANNING,2017-Q1,229900,1/1/2017,916.6589646,183920,264.385,1181.043965,47241.75859,0.460551331
28,BARSTOW,2018-Q2,144999,4/1/2018,601.6157098,115999.2,166.74885,768.3645598,30734.58239,0.597928346
406,BARSTOW,2018-Q1,129150,1/1/2018,535.8565847,103320,148.5225,684.3790847,27375.16339,0.626172781
784,BARSTOW,2017-Q2,133500,4/1/2017,553.9051805,106800,153.525,707.4301805,28297.20722,0.599672762
28,BARSTOW,2017-Q4,144999,10/1/2017,601.6157098,115999.2,166.74885,768.3645598,30734.58239,0.597928346
406,BARSTOW,2017-Q3,129150,7/1/2017,535.8565847,103320,148.5225,684.3790847,27375.16339,0.626172781
28,BARSTOW,2017-Q1,112950,1/1/2017,450.3550677,90360,129.8925,580.2475677,23209.90271,0.656144754
29,BAY POINT,2018-Q2,5.00E+05,4/1/2018,2074.551238,4.00E+05,575,2649.551238,105982.0495,0.208606194
