"","region","Quarter","Price","QuarterEnding","pmt","principal","t_i","pti","min_inc","HAI"
"142","HOLLISTER","2018-Q2",565800,2018-04-01,2347.56218064614,452640,650.67,2998.23218064614,119929.287225846,0.28067486152756
"143","HUNTINGTON BEACH","2018-Q2",785888,2018-04-01,3260.72984627719,628710.4,903.7712,4164.50104627719,166580.041851087,0.234808106629339
"144","IMPERIAL BEACH","2018-Q2",610000,2018-04-01,2530.95251006388,488000,701.5,3232.45251006388,129298.100402555,0.0917114558506311
"145","INDIAN WELLS","2018-Q2",735500,2018-04-01,3051.66487074096,588400,845.825,3897.48987074096,155899.594829638,0.329745456897574
"146","INDIO","2018-Q2",320762.5,2018-04-01,1330.87648280224,256610,368.876875,1699.75335780224,67990.1343120896,0.414249957900872
"147","IRVINE","2018-Q2",859000,2018-04-01,3564.07902646701,687200,987.85,4551.92902646701,182077.16105868,0.242915159201925
"148","JAMUL","2018-Q2",615000,2018-04-01,2551.69802244145,492000,707.25,3258.94802244145,130357.920897658,0.525463510826049
"149","JOSHUA TREE","2018-Q2",193500,2018-04-01,802.851329012067,154800,222.525,1025.37632901207,41015.0531604827,0.538470398778377
"150","KELSEYVILLE","2018-Q2",3e+05,2018-04-01,1244.73074265437,240000,345,1589.73074265437,63589.2297061747,0.41424685508591
"151","KINGSBURG","2018-Q2",272500,2018-04-01,1130.63042457772,218000,313.375,1444.00542457772,57760.2169831087,0.541933887402827
"152","LA HABRA","2018-Q2",536000,2018-04-01,2223.9189268758,428800,616.4,2840.3189268758,113612.757075032,0.280660865648205
"153","LA MESA","2018-Q2",544000,2018-04-01,2257.11174667992,435200,625.6,2882.71174667992,115308.469867197,0.223200526149598
"154","LA MIRADA","2018-Q2",604500,2018-04-01,2508.13244644855,483600,695.175,3203.30744644855,128132.297857942,0.313560775629516
"155","LA PUENTE","2018-Q2",470000,2018-04-01,1950.07816349184,376000,540.5,2490.57816349184,99623.1265396737,0.265507356249067
"156","LA QUINTA","2018-Q2",460000,2018-04-01,1908.5871387367,368000,529,2437.5871387367,97503.4855494679,0.434404386828444
"157","LA VERNE","2018-Q2",675000,2018-04-01,2800.64417097233,540000,776.25,3576.89417097233,143075.766838893,0.253909367247453
"158","LADERA RANCH","2018-Q2",790000,2018-04-01,3277.7909556565,632000,908.5,4186.2909556565,167451.63822626,0.457578276031304
"159","LAFAYETTE","2018-Q2",1600012,2018-04-01,6638.613750053,1280009.6,1840.0138,8478.627550053,339145.10200212,0.256306764654475
"160","LAGUNA BEACH","2018-Q2",1800000,2018-04-01,7468.38445592621,1440000,2070,9538.38445592621,381535.378237048,0.199400947902143
"161","LAGUNA HILLS","2018-Q2",690000,2018-04-01,2862.88070810505,552000,793.5,3656.38070810505,146255.228324202,0.335345860090861
"162","LAGUNA NIGUEL","2018-Q2",805000,2018-04-01,3340.02749278922,644000,925.75,4265.77749278922,170631.099711569,0.302132442187908
"163","LAKE ARROWHEAD","2018-Q2",395000,2018-04-01,1638.89547782825,316000,454.25,2093.14547782825,83725.8191131301,0.433960440816612
"164","LAKE ELSINORE","2018-Q2",370000,2018-04-01,1535.16791594039,296000,425.5,1960.66791594039,78426.7166376155,0.416783701028771
"165","LAKE FOREST","2018-Q2",698000,2018-04-01,2896.07352790916,558400,802.7,3698.77352790916,147950.941116367,0.314338861136835
"166","LAKESIDE","2018-Q2",524000,2018-04-01,2174.12969716963,419200,602.6,2776.72969716963,111069.187886785,0.287136000238025
"167","LAKEWOOD","2018-Q2",575000,2018-04-01,2385.73392342087,460000,661.25,3046.98392342087,121879.356936835,0.310111608997105
"168","LANCASTER","2018-Q2",280000,2018-04-01,1161.74869314408,224000,322,1483.74869314408,59349.9477257631,0.446264320544499
"169","LATHROP","2018-Q2",399900,2018-04-01,1659.22607995827,319920,459.885,2119.11107995827,84764.4431983309,0.385682631692685
"170","LEMON GROVE","2018-Q2",460000,2018-04-01,1908.5871387367,368000,529,2437.5871387367,97503.4855494679,0.251859888164375
"171","LEMOORE","2018-Q2",239000,2018-04-01,991.63549164798,191200,274.85,1266.48549164798,50659.4196659192,0.526201532751722
"172","LINCOLN","2018-Q2",465000,2018-04-01,1929.33265111427,372000,534.75,2464.08265111427,98563.3060445708,0.409339418110513
"173","LITTLEROCK","2018-Q2",282990,2018-04-01,1174.15450954587,226392,325.4385,1499.59300954587,59983.7203818346,0.498423454830603
"174","LIVERMORE","2018-Q2",810000,2018-04-01,3360.77300516679,648000,931.5,4292.27300516679,171690.920206672,0.335140239540722
"175","LODI","2018-Q2",339500,2018-04-01,1408.62029043719,271600,390.425,1799.04529043719,71961.8116174877,0.371900177767566
"176","LOMPOC","2018-Q2",350000,2018-04-01,1452.1858664301,280000,402.5,1854.6858664301,74187.4346572038,0.339754614421983
"177","LONG BEACH","2018-Q2",565000,2018-04-01,2344.24289866573,452000,649.75,2993.99289866573,119759.715946629,0.227313847083139
"178","LOOMIS","2018-Q2",660000,2018-04-01,2738.40763383961,528000,759,3497.40763383961,139896.305353584,0.297978478921936
"179","LOS ALTOS","2018-Q2",4772500,2018-04-01,19801.5915643932,3818000,5488.375,25289.9665643932,1011598.66257573,0
"180","LOS ANGELES","2018-Q2",610000,2018-04-01,2530.95251006388,488000,701.5,3232.45251006388,129298.100402555,0.205070275968937
"181","LOS BANOS","2018-Q2",336990,2018-04-01,1398.20604322365,269592,387.5385,1785.74454322365,71429.7817289461,0.292625415220541
"182","LOS GATOS","2018-Q2",1750000,2018-04-01,7260.92933215048,1400000,2012.5,9273.42933215048,370937.173286019,0.240172824983499
"183","LOS OSOS","2018-Q2",589950,2018-04-01,2447.76300542981,471960,678.4425,3126.20550542981,125048.220217193,0.224295335033895
"184","MADERA","2018-Q2",250000,2018-04-01,1037.27561887864,2e+05,287.5,1324.77561887864,52991.0247551456,0.443548987437512
