"","region","Price2018-Q3","Price2018-Q2","principal2018-Q3","pmt2018-Q3","t_i2018-Q3","pti2018-Q3","min_inc2018-Q3","HAI2018-Q3","principal2018-Q2","pmt2018-Q2","t_i2018-Q2","pti2018-Q2","min_inc2018-Q2","HAI2018-Q2","Price2017-Q3","principal2017-Q3","pmt2017-Q3","t_i2017-Q3","pti2017-Q3","min_inc2017-Q3","HAI2017-Q3"
"36","ATHERTON",6325000,6650000,5060000,26456.3884521683,7273.75,33730.1384521683,1349205.53808673,0,5320000,27815.8076216473,7647.5,35463.3076216473,1418532.30486589,0,5150000,4120000,21541.565300975,5922.5,27464.065300975,1098562.612039,0
"37","ATWATER",265000,270000,212000,1108.44947665211,304.75,1413.19947665211,56527.9790660844,0.409278322594085,216000,1129.36361772102,310.5,1439.86361772102,57594.5447088407,0.400330989198239,259500,207600,1085.44392147631,298.425,1383.86892147631,55354.7568590525,0.431589183184351
"38","AUBERRY",251500,214000,201200,1051.98129576606,289.225,1341.20629576606,53648.2518306424,0.529581141712748,171200,895.125237749251,246.1,1141.22523774925,45649.00950997,0.583154422620544,235000,188000,982.964630238664,270.25,1253.21463023866,50128.5852095465,0.526998924361034
"39","AUBURN",480000,499900,384000,2007.75754261514,552,2559.75754261514,102390.301704606,0.2793166174648,399920,2090.9958240694,574.885,2665.8808240694,106635.232962776,0.263404869468176,450000,360000,1882.2726962017,517.5,2399.7726962017,95990.9078480678,0.276933491435291
"40","AVALON",775000,595000,620000,3241.6918656807,891.25,4132.9418656807,165317.674627228,0.15448275956602,476000,2488.78278720002,684.25,3173.03278720002,126921.311488001,0.24902860721866,275000,220000,1150.27775878993,316.25,1466.52775878993,58661.110351597,0.488437454976869
"41","AVENAL",150000,139000,120000,627.424232067232,172.5,799.924232067232,31996.9692826893,0.581891023209641,111200,581.413121715635,159.85,741.263121715635,29650.5248686254,0.619012879321112,153000,122400,639.972716708577,175.95,815.922716708577,32636.9086683431,0.456412230572026
"42","AVERY",258499.5,1415000,206799.6,1081.25900184842,297.274425,1378.53342684842,55141.3370739369,0.536247391794787,1132000,5918.70192250089,1627.25,7545.95192250089,301838.076900036,0.0343679360271721,400888,320710.4,1676.84563696646,461.0212,2137.86683696646,85514.6734786583,0.339237959236595
"43","AZUSA",450000,448500,360000,1882.2726962017,517.5,2399.7726962017,95990.9078480678,0.328358636310058,358800,1875.99845388102,515.775,2391.77345388102,95670.9381552409,0.327108213630449,437500,350000,1829.98734352943,503.125,2333.11234352943,93324.4937411771,0.295412070417973
"44","BAKERSFIELD",243500,239900,194800,1018.51867005581,280.025,1298.54367005581,51941.7468022323,0.58559508017119,191920,1003.46048848619,275.885,1279.34548848619,51173.8195394477,0.588958221511328,230500,184400,964.141903276646,265.075,1229.21690327665,49168.6761310659,0.573465713333993
"45","BALDWIN PARK",465000,421500,372000,1945.01511940842,534.75,2479.76511940842,99190.6047763368,0.229517352665694,337200,1763.06209210892,484.725,2247.78709210892,89911.4836843569,0.282133881921446,392000,313600,1639.66865980237,450.8,2090.46865980237,83618.7463920947,0.287979595273897
